First District,	Carver, Dakota, Goodhue, LeSueur, McLeod, Scott and Sibley
Second District, Ramsey
Third District,	Dodge, Fillmore, Freeborn, Houston, Mower, Olmsted, Rice, Steele, Wabasha, Waseca, Winona
Fourth District, Hennepin
Fifth District,	Blue Earth, Brown, Cottonwood, Faribault, Jackson, Lincoln, Lyon, Martin, Murray, Nicollet, Nobles, Pipestone, Redwood, Rock, Watonwan
Sixth District,	Carlton, Cook, Lake, St. Louis
Seventh District,	Becker, Benton, Clay, Douglas, Mille Lacs, Morrison, Otter Tail, Stearns, Todd, Wadena
Eighth District, Big Stone, Chippewa, Grant, Kandiyohi, Lac qui Parle, Meeker, Pope, Renville, Stevens, Swift, Traverse, Wilkin, Yellow Medicine
Ninth District,	Aitkin, Beltrami, Cass, Clearwater, Crow Wing, Hubbard, Itasca, Kittson, Koochiching, Lake of the Woods, Mahnomen, Marshall, Norman, Pennington, Polk, Red Lake, Roseau
Tenth District,	Anoka, Chisago, Isanti, Kanabec, Pine, Sherburne, Washington, Wright
